"TI3";""Lgroup"";""Lshark"";""Lfishc"";""Crus"";""Scom"";""Ceph"";""Seabird"";""Sschool"";""Lschool"";""Plongi"";""Pescul"";""Sfisho"";""Mende"";""Bmoll"";""Fishh"";""Zoopl"";""Prown"";""Echino"";""Sess"";""Phyto"";""Benthau"";""Decomp"";""Turtle"";;SUM
""Seabird"";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";;"0,00"
""Sschool"";"0,00";"0,00";"0,09";"0,13";"0,07";"0,02";"0,00";"0";"0,04";"0,00";"0,00";"0,11";"0,02";"0,11";"0,15";"0,15";"0,00";"0,11";"0,15";"0,15";"0,15";"0,15";"0,00";;"1,61"
""Lschool"";"0,00";"0,00";"0,04";"0,04";"0,04";"0,02";"0,00";"0,04";"0";"0,00";"0,00";"0,04";"0,02";"0,04";"0,04";"0,04";"0,00";"0,04";"0,04";"0,04";"0,04";"0,04";"0,00";;"0,61"
""Plongi"";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";;"0,00"
""Pescul"";"0,00";"0,00";"0,02";"0,02";"0,02";"0,00";"0,00";"0,00";"0,00";"0,00";"0";"0,02";"0,00";"0,02";"0,00";"0,02";"0,00";"0,02";"0,02";"0,02";"0,02";"0,02";"0,00";;"0,24"
""Sfisho"";"0,00";"0,00";"0,11";"0,13";"0,09";"0,02";"0,00";"0,11";"0,04";"0,00";"0,02";"0";"0,02";"0,13";"0,11";"0,13";"0,00";"0,13";"0,13";"0,13";"0,13";"0,13";"0,00";;"1,57"
""Mende"";"0,00";"0,00";"0,02";"0,02";"0,02";"0,02";"0,00";"0,02";"0,02";"0,00";"0,00";"0,02";"0";"0,02";"0,02";"0,02";"0,00";"0,02";"0,02";"0,02";"0,02";"0,02";"0,00";;"0,33"
""Bmoll"";"0,00";"0,00";"0,13";"0,15";"0,11";"0,02";"0,00";"0,11";"0,04";"0,00";"0,02";"0,13";"0,02";"0";"0,17";"0,22";"0,00";"0,17";"0,22";"0,20";"0,20";"0,15";"0,00";;"2,07"
""Fishh"";"0,00";"0,00";"0,11";"0,13";"0,09";"0,02";"0,00";"0,15";"0,04";"0,00";"0,00";"0,11";"0,02";"0,17";"0";"0,26";"0,00";"0,15";"0,24";"0,22";"0,22";"0,20";"0,00";;"2,13"
""Zoopl"";"0,00";"0,00";"0,13";"0,17";"0,11";"0,02";"0,00";"0,15";"0,04";"0,00";"0,02";"0,13";"0,02";"0,22";"0,26";"0";"0,00";"0,17";"0,30";"0,26";"0,26";"0,22";"0,00";;"2,50"
